Cebus capucinus
Saimiri boliviensis
Saguinus labiatus
Pongo pygmaeus
Nomascus leucogenys
Pan troglodytes
Pan paniscus
Homo sapiens
Gorilla
Rhinopithecus roxellana
Piliocolobus tephrosceles
Macaca mulatta
Chlorocebus sabaeus
Cercocebus atys
Mandrillus leucophaeus
Papio anubis
Galeopterus variegatus
Plecturocebus moloch
Aotus nancymaae
Aotus trivirgatus
Callithrix jacchus
Colobus angolensis palliatus
Macaca fascicularis
Rhinopithecus bieti
Theropithecus gelada
Macaca nemestrina
Chlorocebus aethiops
Pongo abelii
