#ID_REF = 
#VALUE = Signal normalized to TGT 500
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
AFFX-BioB-5_at  776.2   P   0.004017
AFFX-BioB-M_at  1326.5  P   0.000225
AFFX-BioB-3_at  464.4   A   0.089478
AFFX-BioC-5_at  2242.7  P   0.00011
AFFX-BioC-3_at  2427.6  P   0.000081
AFFX-BioDn-5_at 2730.9  P   0.001102
AFFX-BioDn-3_at 13888.7 P   0.00011
AFFX-CreX-5_at  23563.4 P   0.000052
AFFX-CreX-3_at  44419.7 P   0.000044
AFFX-HUMISGF3A/M97935_5_at  94.2    A   0.544587
AFFX-HUMISGF3A/M97935_MA_at 62.8    A   0.724854
AFFX-HUMISGF3A/M97935_MB_at 341.8   P   0.018281
AFFX-HUMISGF3A/M97935_3_at  1108.9  P   0.00141
AFFX-HUMRGE/M10098_5_at 347.7   P   0.018281
AFFX-HUMRGE/M10098_M_at 271.4   A   0.48511
AFFX-HUMRGE/M10098_3_at 643.3   M   0.062929
AFFX-HUMGAPDH/M33197_5_at   3026.7  P   0.00007
AFFX-HUMGAPDH/M33197_M_at   3632.8  P   0.00844
AFFX-HUMGAPDH/M33197_3_at   6187.8  P   0.000044
AFFX-HSAC07/X00351_5_at 11505.2 P   0.000052
AFFX-HSAC07/X00351_M_at 23934.2 P   0.000147
AFFX-HSAC07/X00351_3_at 25480.2 P   0.000052
AFFX-M27830_5_at    1425.6  P   0.00007
AFFX-M27830_M_at    1190.1  A   0.287743
AFFX-M27830_3_at    196.8   A   0.686277
AFFX-hum_alu_at 83006.4 P   0
AFFX-r2-Ec-bioB-5_at    1154.4  P   0.000732
AFFX-r2-Ec-bioB-M_at    1551.7  P   0.000244
AFFX-r2-Ec-bioB-3_at    1328.6  P   0.005859
AFFX-r2-Ec-bioC-5_at    4007.3  P   0.000244
AFFX-r2-Ec-bioC-3_at    3847    P   0.000244
AFFX-r2-Ec-bioD-5_at    12428   P   0.000244
AFFX-r2-Ec-bioD-3_at    18165.8 P   0.000244
AFFX-r2-P1-cre-5_at 40935.8 P   0.000244
AFFX-r2-P1-cre-3_at 71144.4 P   0.000244
AFFX-r2-Bs-dap-5_at 13.6    A   0.989258
AFFX-r2-Bs-dap-M_at 24.9    A   0.780518
AFFX-r2-Bs-dap-3_at 24.9    A   0.72583
AFFX-r2-Bs-lys-5_at 47.4    A   0.601074
AFFX-r2-Bs-lys-M_at 228.4   P   0.037598
AFFX-r2-Bs-lys-3_at 141.3   A   0.095215
AFFX-r2-Bs-phe-5_at 140.4   A   0.398926
AFFX-r2-Bs-phe-M_at 72  A   0.567627
AFFX-r2-Bs-phe-3_at 47.7    A   0.665527
AFFX-r2-Bs-thr-3_s_at   57.3    A   0.904785
AFFX-r2-Bs-thr-M_s_at   305.5   A   0.303711
AFFX-r2-Bs-thr-5_s_at   158.5   M   0.056152
200000_s_at 197.6   A   0.432373
200001_at   2286.5  P   0.030273
200002_at   1248.9  P   0.000244
200003_s_at 6722.4  P   0.000244
200004_at   2780.1  P   0.000244
200005_at   936.4   P   0.005859
200006_at   1433    P   0.001953
200007_at   2568.8  P   0.001221
200008_s_at 784.9   P   0.00415
200009_at   1758.5  P   0.000244
200010_at   10593.1 P   0.000732
200011_s_at 1597.1  P   0.010742
200012_x_at 39092.6 P   0.000244
200013_at   3246.5  P   0.000244
200014_s_at 1485.2  P   0.000732
200015_s_at 725.4   P   0.00415
200016_x_at 3371.9  P   0.000244
200017_at   5982.2  P   0.001953
200018_at   14505.8 P   0.000244
200019_s_at 7053.8  P   0.000244
200020_at   544.9   P   0.023926
200021_at   22696.6 P   0.00415
200022_at   3034    P   0.00415
200023_s_at 1498.8  P   0.000732
200024_at   3944.1  P   0.005859
200025_s_at 6659.7  P   0.000244
200026_at   4375.5  P   0.00415
200027_at   545.6   P   0.001953
200028_s_at 497.3   A   0.149658
200029_at   10641.5 P   0.000732
200030_s_at 2207.9  P   0.000732
200031_s_at 28457.3 P   0.000244
200032_s_at 8496.4  P   0.000244
200033_at   3895.3  P   0.000244
200034_s_at 2438.6  P   0.000732
200035_at   1787.9  P   0.018555
200036_s_at 876.2   P   0.010742
200037_s_at 1231.9  P   0.001953
200038_s_at 4047    P   0.001221
200039_s_at 935.4   A   0.246094
200040_at   1266.7  P   0.001953
200041_s_at 1910    P   0.000244
200042_at   349.6   A   0.432373
200043_at   1077.8  P   0.030273
200044_at   704 A   0.129639
200045_at   923.9   A   0.111572
200046_at   1190.8  P   0.00293
200047_s_at 1138.6  P   0.000244
200048_s_at 3161    P   0.008057
200049_at   919.3   P   0.010742
200050_at   317.7   P   0.018555
200051_at   339.5   A   0.111572
200052_s_at 420.1   A   0.080566
200053_at   482.6   P   0.010742
200054_at   261.7   A   0.366211
200055_at   3240.5  P   0.000244
200056_s_at 186.1   P   0.005859
200057_s_at 1996.8  P   0.008057
200058_s_at 405.6   A   0.219482
200059_s_at 9721.9  P   0.000244
200060_s_at 1512.2  P   0.008057
200061_s_at 11197.1 P   0.000732
200062_s_at 19528.3 P   0.001953
200063_s_at 988.8   P   0.001221
200064_at   1039.4  A   0.080566
200065_s_at 4914.6  P   0.005859
200066_at   826.6   P   0.00415
200067_x_at 1671    P   0.000244
200068_s_at 1688    P   0.018555
200069_at   188.3   A   0.129639
200070_at   1972.4  P   0.046143
200071_at   546.5   P   0.037598
200072_s_at 472.2   A   0.149658
200073_s_at 874.7   P   0.037598
200074_s_at 1338.5  P   0.000244
200075_s_at 6824.2  P   0.000244
200076_s_at 786.8   A   0.129639
200077_s_at 45757.5 P   0.000244
200078_s_at 4852.5  P   0.001953
200079_s_at 949.7   P   0.000244
200080_s_at 30207.5 P   0.000244
200081_s_at 6538.8  P   0.000244
200082_s_at 1838.4  P   0.01416
200083_at   833.7   P   0.023926
200084_at   854.3   P   0.001953
200085_s_at 4101.3  P   0.00293
200086_s_at 1197.3  P   0.005859
200087_s_at 1030.8  P   0.000244
200088_x_at 17464.9 P   0.000244
200089_s_at 2571.6  P   0.00415
200090_at   809.2   P   0.046143
200091_s_at 4438.7  P   0.000244
200092_s_at 8099.7  P   0.000732
200093_s_at 269.3   A   0.303711
200094_s_at 3376.3  P   0.010742
200095_x_at 14809.2 P   0.000244
200096_s_at 2449.2  P   0.000244
200097_s_at 1653.7  P   0.000244
200098_s_at 723.5   A   0.095215
200099_s_at 10000.1 P   0.000732
208100_x_at 534.7   A   0.5
208601_s_at 46.5    A   0.828613
208113_x_at 2289.8  P   0.000732
220976_s_at 316.2   A   0.27417
221232_s_at 381 A   0.303711
208066_s_at 677.4   A   0.080566
221268_s_at 156.3   A   0.080566
220996_s_at 254.6   A   0.398926
221239_s_at 237.1   A   0.601074
208134_x_at 522.9   A   0.334473
208025_s_at 298.6   A   0.219482
208606_s_at 22.7    A   0.780518
208097_s_at 196.8   A   0.398926
208040_s_at 223.9   A   0.398926
220984_s_at 140.4   A   0.246094
221426_s_at 229.9   A   0.533936
221026_s_at 27.1    A   0.870361
221417_x_at 27.1    A   0.998779
221010_s_at 161.5   A   0.601074
208130_s_at 700.5   A   0.111572
208128_x_at 545.4   A   0.334473
208088_s_at 22.4    A   0.870361
208607_s_at 41.3    A   0.633789
221251_x_at 26.6    A   0.943848
221012_s_at 503.7   P   0.00293
221237_s_at 303.6   A   0.5
208507_at   44.3    A   0.969727
221269_s_at 3467    P   0.001221
208104_s_at 745.1   A   0.19458
221032_s_at 497.5   A   0.5
221246_x_at 668.3   A   0.19458
221024_s_at 148.6   A   0.696289
220997_s_at 9   A   0.870361
208592_s_at 369.7   A   0.080566
220998_s_at 428.9   A   0.303711
221451_s_at 348.9   A   0.19458
221455_s_at 51.6    A   0.80542
221266_s_at 325.9   A   0.19458
220989_s_at 673.6   P   0.018555
220962_s_at 632.6   A   0.067627
221023_s_at 73.8    A   0.5
208147_s_at 76.5    A   0.567627
208149_x_at 1526.7  A   0.095215
221238_at   209.9   A   0.067627
221424_s_at 92.3    A   0.828613
221020_s_at 11.8    A   0.780518
208078_s_at 846.7   A   0.129639
221241_s_at 420 A   0.533936
220972_s_at 8.9 A   0.904785
221027_s_at 136.5   A   0.129639
221240_s_at 620.3   A   0.067627
221415_s_at 437.6   A   0.111572
221016_s_at 233.4   A   0.171387
208082_x_at 1534.8  P   0.005859
221017_s_at 53.2    A   0.753906
221019_s_at 310.1   A   0.246094
220965_s_at 726.2   A   0.095215
221004_s_at 200.5   A   0.696289
220964_s_at 1438.6  A   0.111572
221234_s_at 280 P   0.00415
221448_s_at 183.7   A   0.27417
221013_s_at 1016.6  P   0.023926
220982_s_at 23.5    A   0.991943
208118_x_at 80.8    A   0.432373
208030_s_at 972.1   A   0.080566
221421_s_at 464.5   A   0.067627
220988_s_at 313.4   A   0.171387
221447_s_at 602.4   A   0.466064
208087_s_at 237.2   A   0.171387
220970_s_at 40.3    A   0.888428
220983_s_at 49.4    A   0.753906
221414_s_at 482.5   A   0.219482
221254_s_at 27  A   0.998047
208508_s_at 104.6   A   0.334473
221001_at   284 A   0.334473
221005_s_at 58.5    A   0.969727
220975_s_at 299.5   A   0.466064
