#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detecion call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
AFFX-BioB-5_at  686.1   P   0.021902
AFFX-BioB-M_at  827 P   0.001248
AFFX-BioB-3_at  217.1   A   0.239063
AFFX-BioC-5_at  1151.3  P   0.00039
AFFX-BioC-3_at  1200.8  P   0.000857
AFFX-BioDn-5_at 1272.8  P   0.004998
AFFX-BioDn-3_at 8082.5  P   0.000857
AFFX-CreX-5_at  11494.9 P   0.00006
AFFX-CreX-3_at  20604.4 P   0.000044
AFFX-HUMISGF3A/M97935_5_at  30.3    A   0.686277
AFFX-HUMISGF3A/M97935_MA_at 65  A   0.834139
AFFX-HUMISGF3A/M97935_MB_at 287.1   P   0.042962
AFFX-HUMISGF3A/M97935_3_at  1306.5  P   0.001248
AFFX-HUMRGE/M10098_5_at 1261.1  P   0.000195
AFFX-HUMRGE/M10098_M_at 387.6   A   0.227636
AFFX-HUMRGE/M10098_3_at 561.3   A   0.147939
AFFX-HUMGAPDH/M33197_5_at   3730.6  P   0.00006
AFFX-HUMGAPDH/M33197_M_at   4344.6  P   0.006871
AFFX-HUMGAPDH/M33197_3_at   6553.1  P   0.000044
AFFX-HSAC07/X00351_5_at 14427.5 P   0.000052
AFFX-HSAC07/X00351_M_at 24373.8 P   0.00011
AFFX-HSAC07/X00351_3_at 23081.6 P   0.000044
AFFX-M27830_5_at    2967.3  P   0.00007
AFFX-M27830_M_at    3043.6  A   0.102165
AFFX-M27830_3_at    239.5   A   0.58862
AFFX-hum_alu_at 59008.3 P   0
AFFX-r2-Ec-bioB-5_at    638.4   P   0.005859
AFFX-r2-Ec-bioB-M_at    902.7   P   0.001221
AFFX-r2-Ec-bioB-3_at    545.9   P   0.001221
AFFX-r2-Ec-bioC-5_at    1722.4  P   0.000244
AFFX-r2-Ec-bioC-3_at    2035.5  P   0.000244
AFFX-r2-Ec-bioD-5_at    5831.7  P   0.000244
AFFX-r2-Ec-bioD-3_at    8905.7  P   0.000244
AFFX-r2-P1-cre-5_at 26392   P   0.000244
AFFX-r2-P1-cre-3_at 43158.2 P   0.000244
AFFX-r2-Bs-dap-5_at 7.9 A   0.969727
AFFX-r2-Bs-dap-M_at 6.1 A   0.888428
AFFX-r2-Bs-dap-3_at 4.7 A   0.870361
AFFX-r2-Bs-lys-5_at 26.9    A   0.533936
AFFX-r2-Bs-lys-M_at 225.9   A   0.095215
AFFX-r2-Bs-lys-3_at 128.4   A   0.303711
AFFX-r2-Bs-phe-5_at 133.9   A   0.27417
AFFX-r2-Bs-phe-M_at 88.5    A   0.27417
AFFX-r2-Bs-phe-3_at 197.3   A   0.398926
AFFX-r2-Bs-thr-3_s_at   48.5    A   0.904785
AFFX-r2-Bs-thr-M_s_at   183.6   A   0.432373
AFFX-r2-Bs-thr-5_s_at   253.1   A   0.080566
