#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
AFFX-BioB-5_at  665.5   P   0.011384
AFFX-BioB-M_at  737.6   P   0.001102
AFFX-BioB-3_at  356.6   A   0.156732
AFFX-BioC-5_at  1216    P   0.000509
AFFX-BioC-3_at  1285.2  P   0.000446
AFFX-BioDn-5_at 1373.4  P   0.003212
AFFX-BioDn-3_at 7493.3  P   0.001248
AFFX-CreX-5_at  12772.6 P   0.000052
AFFX-CreX-3_at  20863.7 P   0.000044
AFFX-HUMISGF3A/M97935_5_at  35.9    A   0.60308
AFFX-HUMISGF3A/M97935_MA_at 135.9   A   0.617401
AFFX-HUMISGF3A/M97935_MB_at 237.3   P   0.012547
AFFX-HUMISGF3A/M97935_3_at  1164.4  P   0.001248
AFFX-HUMRGE/M10098_5_at 456.3   P   0.004484
AFFX-HUMRGE/M10098_M_at 279.4   A   0.48511
AFFX-HUMRGE/M10098_3_at 549.1   A   0.195266
AFFX-HUMGAPDH/M33197_5_at   3794.8  P   0.00006
AFFX-HUMGAPDH/M33197_M_at   3569.9  P   0.011384
AFFX-HUMGAPDH/M33197_3_at   5395.5  P   0.000052
AFFX-HSAC07/X00351_5_at 7558.9  P   0.00007
AFFX-HSAC07/X00351_M_at 12909   P   0.000169
AFFX-HSAC07/X00351_3_at 17236.2 P   0.000044
AFFX-M27830_5_at    2003.5  P   0.00011
AFFX-M27830_M_at    2362    A   0.156732
AFFX-M27830_3_at    211.8   A   0.672921
AFFX-hum_alu_at 57631.5 P   0
AFFX-r2-Ec-bioB-5_at    817.5   P   0.001221
AFFX-r2-Ec-bioB-M_at    715.2   P   0.00293
AFFX-r2-Ec-bioB-3_at    495.6   P   0.001953
AFFX-r2-Ec-bioC-5_at    1779.2  P   0.000244
AFFX-r2-Ec-bioC-3_at    2304.6  P   0.000732
AFFX-r2-Ec-bioD-5_at    5593.1  P   0.000244
AFFX-r2-Ec-bioD-3_at    8272.9  P   0.000244
AFFX-r2-P1-cre-5_at 24992.1 P   0.000244
AFFX-r2-P1-cre-3_at 41678.8 P   0.000244
AFFX-r2-Bs-dap-5_at 10.7    A   0.962402
AFFX-r2-Bs-dap-M_at 4.5 A   0.98584
AFFX-r2-Bs-dap-3_at 30.7    A   0.72583
AFFX-r2-Bs-lys-5_at 47.5    A   0.398926
AFFX-r2-Bs-lys-M_at 307.1   A   0.080566
AFFX-r2-Bs-lys-3_at 96.4    A   0.171387
AFFX-r2-Bs-phe-5_at 43.7    A   0.5
AFFX-r2-Bs-phe-M_at 74.8    A   0.246094
AFFX-r2-Bs-phe-3_at 41.7    A   0.601074
AFFX-r2-Bs-thr-3_s_at   49.3    A   0.850342
AFFX-r2-Bs-thr-M_s_at   277 A   0.27417
AFFX-r2-Bs-thr-5_s_at   261.3   P   0.046143
200000_s_at 59.1    A   0.5
200001_at   1740.1  P   0.046143
200002_at   2929.9  P   0.000244
200003_s_at 9863.6  P   0.000244
200004_at   2939.4  P   0.000244
200005_at   925.6   P   0.01416
200006_at   2429    P   0.001221
200007_at   3019    P   0.000732
200008_s_at 791.8   P   0.008057
200009_at   1955.8  P   0.001221
200010_at   10186.9 P   0.000244
200011_s_at 1946.9  P   0.008057
200012_x_at 24740   P   0.000244
200013_at   5388.6  P   0.000244
200014_s_at 1449.6  P   0.000244
200015_s_at 1113.2  P   0.005859
200016_x_at 5000.3  P   0.000244
200017_at   9674.9  P   0.001221
200018_at   13375.3 P   0.000244
200019_s_at 7614.8  P   0.000244
200020_at   605.2   P   0.01416
200021_at   13845.5 P   0.005859
200022_at   4548.3  P   0.00293
200023_s_at 1781.6  P   0.000244
200024_at   6342.3  P   0.001953
200025_s_at 9021    P   0.000244
200026_at   5206.4  P   0.00293
200027_at   1042.4  P   0.001953
200028_s_at 945.3   A   0.171387
200029_at   7652.6  P   0.000244
200030_s_at 2415.9  P   0.001953
200031_s_at 18350   P   0.000244
