#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
AFFX-BioB-5_at  827.9   P   0.010317
AFFX-BioB-M_at  1484.6  P   0.004998
AFFX-BioB-3_at  397.5   A   0.102165
AFFX-BioC-5_at  2443.3  P   0.000195
AFFX-BioC-3_at  2675.9  P   0.000446
AFFX-BioDn-5_at 2008.3  P   0.002556
AFFX-BioDn-3_at 12139.6 P   0.000509
AFFX-CreX-5_at  18889.1 P   0.00007
AFFX-CreX-3_at  31603.9 P   0.000044
AFFX-HUMISGF3A/M97935_5_at  21.9    A   0.916408
AFFX-HUMISGF3A/M97935_MA_at 113.1   A   0.724854
AFFX-HUMISGF3A/M97935_MB_at 356.1   P   0.028457
AFFX-HUMISGF3A/M97935_3_at  1346    P   0.002275
AFFX-HUMRGE/M10098_5_at 319 A   0.108979
AFFX-HUMRGE/M10098_M_at 66.5    A   0.783476
AFFX-HUMRGE/M10098_3_at 183.4   A   0.440646
AFFX-HUMGAPDH/M33197_5_at   2121.4  P   0.000225
AFFX-HUMGAPDH/M33197_M_at   1772.2  A   0.078002
AFFX-HUMGAPDH/M33197_3_at   3007.1  P   0.00006
AFFX-HSAC07/X00351_5_at 10244   P   0.000081
AFFX-HSAC07/X00351_M_at 25281.3 P   0.00039
AFFX-HSAC07/X00351_3_at 21737.9 P   0.00007
AFFX-M27830_5_at    886 P   0.001593
AFFX-M27830_M_at    384.3   A   0.686277
AFFX-M27830_3_at    240.6   A   0.760937
AFFX-hum_alu_at 67904.7 P   0
AFFX-r2-Ec-bioB-5_at    1104.9  P   0.005859
AFFX-r2-Ec-bioB-M_at    1281.3  P   0.000732
AFFX-r2-Ec-bioB-3_at    747 P   0.010742
AFFX-r2-Ec-bioC-5_at    3833.3  P   0.000244
AFFX-r2-Ec-bioC-3_at    4357.6  P   0.000244
AFFX-r2-Ec-bioD-5_at    10062.1 P   0.000244
AFFX-r2-Ec-bioD-3_at    16111.3 P   0.000244
AFFX-r2-P1-cre-5_at 38028.2 P   0.000244
AFFX-r2-P1-cre-3_at 62336   P   0.000244
AFFX-r2-Bs-dap-5_at 90  A   0.601074
AFFX-r2-Bs-dap-M_at 24.5    A   0.828613
AFFX-r2-Bs-dap-3_at 8.7 A   0.919434
AFFX-r2-Bs-lys-5_at 95.5    A   0.398926
AFFX-r2-Bs-lys-M_at 239.5   A   0.303711
AFFX-r2-Bs-lys-3_at 157.8   A   0.246094
AFFX-r2-Bs-phe-5_at 153.3   A   0.533936
AFFX-r2-Bs-phe-M_at 28.8    A   0.633789
AFFX-r2-Bs-phe-3_at 149.7   A   0.633789
AFFX-r2-Bs-thr-3_s_at   62.9    A   0.969727
AFFX-r2-Bs-thr-M_s_at   185.6   A   0.601074
AFFX-r2-Bs-thr-5_s_at   382.5   A   0.095215
200000_s_at 58.2    A   0.633789
200001_at   2043.3  P   0.030273
200002_at   260.6   A   0.171387
