#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
AFFX-BioB-5_at  899.1   P   0.01667
AFFX-BioB-M_at  1177.5  P   0.00141
AFFX-BioB-3_at  173.9   A   0.216524
AFFX-BioC-5_at  2064    P   0.000258
AFFX-BioC-3_at  1892.5  P   0.000258
AFFX-BioDn-5_at 2253    P   0.003595
AFFX-BioDn-3_at 12310   P   0.000446
AFFX-CreX-5_at  18580.7 P   0.000052
AFFX-CreX-3_at  29104.9 P   0.000044
AFFX-HUMISGF3A/M97935_5_at  47.4    A   0.631562
AFFX-HUMISGF3A/M97935_MA_at 41.8    A   0.868639
AFFX-HUMISGF3A/M97935_MB_at 319.7   P   0.028457
AFFX-HUMISGF3A/M97935_3_at  1086.6  P   0.001593
AFFX-HUMRGE/M10098_5_at 245 A   0.165861
AFFX-HUMRGE/M10098_M_at 243.3   A   0.672921
AFFX-HUMRGE/M10098_3_at 581.4   A   0.262827
AFFX-HUMGAPDH/M33197_5_at   1949    P   0.000225
AFFX-HUMGAPDH/M33197_M_at   1650.1  A   0.0727
AFFX-HUMGAPDH/M33197_3_at   3671.3  P   0.00011
AFFX-HSAC07/X00351_5_at 8704.7  P   0.000095
AFFX-HSAC07/X00351_M_at 15230.3 P   0.000258
AFFX-HSAC07/X00351_3_at 18217.5 P   0.000044
AFFX-M27830_5_at    3289.1  P   0.00007
AFFX-M27830_M_at    3013.4  A   0.216524
AFFX-M27830_3_at    269.8   A   0.686277
AFFX-hum_alu_at 61127.7 P   0
AFFX-r2-Ec-bioB-5_at    1016.2  P   0.00293
AFFX-r2-Ec-bioB-M_at    1240.4  P   0.001221
AFFX-r2-Ec-bioB-3_at    637.3   P   0.000244
AFFX-r2-Ec-bioC-5_at    3170.3  P   0.000244
AFFX-r2-Ec-bioC-3_at    3038.1  P   0.000244
AFFX-r2-Ec-bioD-5_at    10021.6 P   0.000244
AFFX-r2-Ec-bioD-3_at    13918.1 P   0.000244
AFFX-r2-P1-cre-5_at 34027.2 P   0.000244
AFFX-r2-P1-cre-3_at 61090.5 P   0.000244
AFFX-r2-Bs-dap-5_at 206.1   A   0.432373
AFFX-r2-Bs-dap-M_at 51  A   0.601074
AFFX-r2-Bs-dap-3_at 9.6 A   0.850342
AFFX-r2-Bs-lys-5_at 104.8   A   0.129639
AFFX-r2-Bs-lys-M_at 308.6   A   0.219482
AFFX-r2-Bs-lys-3_at 65.5    A   0.303711
AFFX-r2-Bs-phe-5_at 229.2   A   0.219482
AFFX-r2-Bs-phe-M_at 54.8    A   0.398926
AFFX-r2-Bs-phe-3_at 421.6   A   0.149658
AFFX-r2-Bs-thr-3_s_at   67.9    A   0.904785
AFFX-r2-Bs-thr-M_s_at   401.3   A   0.080566
AFFX-r2-Bs-thr-5_s_at   348.2   P   0.005859
200000_s_at 262.2   A   0.19458
200001_at   1949.8  A   0.067627
200002_at   2330.2  P   0.000244
200003_s_at 9718.8  P   0.000244
200004_at   2342.4  P   0.000244
200005_at   1131.9  P   0.005859
200006_at   1673.3  P   0.001221
200007_at   2211.3  P   0.001221
200008_s_at 814.8   P   0.010742
200009_at   1186.2  P   0.001953
200010_at   8354.8  P   0.000244
200011_s_at 1386    P   0.046143
200012_x_at 41388.4 P   0.000244
200013_at   4125.2  P   0.000244
200014_s_at 1226.6  P   0.00293
200015_s_at 1062.3  P   0.037598
200016_x_at 4420.2  P   0.000244
200017_at   10163.1 P   0.00293
200018_at   19927.1 P   0.000244
200019_s_at 6333.1  P   0.000244
200020_at   707.4   P   0.037598
200021_at   14489.2 P   0.005859
200022_at   4004.1  P   0.008057
200023_s_at 1592.7  P   0.000244
200024_at   2976    P   0.001953
200025_s_at 8514.4  P   0.000244
200026_at   6037.6  P   0.00293
200027_at   636.8   P   0.030273
200028_s_at 544.8   A   0.398926
200029_at   11182.7 P   0.000732
200030_s_at 1781    P   0.005859
200031_s_at 25541.5 P   0.000244
200032_s_at 10842.6 P   0.000244
200033_at   3072.6  P   0.000244
200034_s_at 3292.2  P   0.000732
200035_at   1612    P   0.046143
200036_s_at 1083.2  P   0.01416
200037_s_at 1234.6  P   0.00415
200038_s_at 7464.1  P   0.000244
200039_s_at 1133.8  A   0.219482
200040_at   1160.1  P   0.01416
200041_s_at 1739    P   0.001221
200042_at   518.2   A   0.398926
200043_at   882.8   P   0.023926
200044_at   182.2   A   0.366211
200045_at   1455.8  A   0.19458
200046_at   1265.7  P   0.023926
200047_s_at 938.4   P   0.000244
200048_s_at 3648.1  P   0.010742
200049_at   785.3   P   0.030273
200050_at   626.1   P   0.018555
200051_at   116.4   A   0.366211
200052_s_at 295.7   A   0.067627
200053_at   849.9   P   0.010742
200054_at   516.5   P   0.046143
200055_at   2671.6  P   0.000732
200056_s_at 143.3   A   0.095215
200057_s_at 1897.9  P   0.010742
200058_s_at 563 A   0.095215
200059_s_at 5514.6  P   0.000732
200060_s_at 1607.5  P   0.005859
200061_s_at 13096.7 P   0.000732
200062_s_at 23815.5 P   0.001953
200063_s_at 1721    P   0.001221
200064_at   1402.6  P   0.023926
200065_s_at 2549.2  P   0.01416
200066_at   486.1   P   0.018555
200067_x_at 1980.9  P   0.010742
200068_s_at 2125    P   0.01416
200069_at   234 A   0.171387
200070_at   2587.4  P   0.030273
200071_at   623.9   M   0.056152
200072_s_at 567.5   A   0.171387
200073_s_at 406.5   A   0.246094
200074_s_at 1982.4  P   0.000244
200075_s_at 8522    P   0.000244
200076_s_at 713 A   0.246094
200077_s_at 47625.5 P   0.000244
200078_s_at 2540.8  P   0.01416
200079_s_at 1175.5  P   0.000244
200080_s_at 20015.8 P   0.000244
200081_s_at 6479.6  P   0.000244
200082_s_at 2224.5  P   0.010742
200083_at   1007.6  P   0.030273
200084_at   683.8   P   0.010742
200085_s_at 3596.9  P   0.005859
200086_s_at 1626.5  P   0.008057
200087_s_at 855.2   P   0.00293
200088_x_at 12793   P   0.000244
200089_s_at 3058.4  P   0.00293
200090_at   794.8   P   0.01416
200091_s_at 4993.2  P   0.000244
200092_s_at 11913   P   0.000732
200093_s_at 347.4   P   0.023926
200094_s_at 3874.8  P   0.01416
200095_x_at 15453.2 P   0.000244
200096_s_at 1685.4  P   0.000244
200097_s_at 1154    P   0.000244
200098_s_at 771.1   A   0.067627
200099_s_at 14308.6 P   0.000244
208100_x_at 145.3   A   0.567627
208601_s_at 84.8    A   0.780518
208113_x_at 1642.5  P   0.008057
220976_s_at 223.2   A   0.366211
221232_s_at 309.3   A   0.432373
208066_s_at 604.2   A   0.080566
221268_s_at 119.1   A   0.080566
220996_s_at 42.9    A   0.696289
221239_s_at 143.6   A   0.533936
208134_x_at 740.2   A   0.303711
208025_s_at 432.1   A   0.129639
208606_s_at 24  A   0.753906
208097_s_at 370.2   A   0.5
208040_s_at 645.8   A   0.334473
220984_s_at 300.6   P   0.028564
221426_s_at 422.3   A   0.533936
221026_s_at 23.6    A   0.850342
221417_x_at 40.1    A   0.998047
221010_s_at 649.3   A   0.246094
208130_s_at 272.1   A   0.398926
208128_x_at 230.6   A   0.533936
208088_s_at 66.9    A   0.753906
208607_s_at 55.8    A   0.80542
221251_x_at 47.9    A   0.943848
221012_s_at 370.5   A   0.080566
221237_s_at 87.3    A   0.780518
208507_at   75.2    A   0.953857
221269_s_at 1619.2  P   0.005859
208104_s_at 406.3   A   0.334473
221032_s_at 673.9   A   0.432373
221246_x_at 961.9   A   0.095215
221024_s_at 177.4   A   0.72583
220997_s_at 161.3   A   0.27417
208592_s_at 467.6   A   0.246094
220998_s_at 168.7   A   0.466064
221451_s_at 354.7   A   0.067627
221455_s_at 60.1    A   0.72583
221266_s_at 390.8   A   0.149658
220989_s_at 656.7   A   0.067627
220962_s_at 519.8   A   0.246094
221023_s_at 75.6    A   0.665527
208147_s_at 163.2   P   0.01416
208149_x_at 2848.8  A   0.129639
221238_at   230.3   A   0.149658
221424_s_at 137.3   A   0.80542
221020_s_at 157 A   0.665527
208078_s_at 650.5   A   0.334473
221241_s_at 580.1   A   0.5
220972_s_at 8   A   0.77417
221027_s_at 187.3   A   0.080566
