#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
AFFX-BioB-5_at  1005.3  P   0.015183
AFFX-BioB-M_at  1283.5  P   0.002023
AFFX-BioB-3_at  340.4   A   0.131361
AFFX-BioC-5_at  2284.7  P   0.000297
AFFX-BioC-3_at  2720.3  P   0.000225
AFFX-BioDn-5_at 2401.2  P   0.002867
AFFX-BioDn-3_at 12861.2 P   0.000225
AFFX-CreX-5_at  21596.4 P   0.000052
AFFX-CreX-3_at  33709.8 P   0.000044
AFFX-HUMISGF3A/M97935_5_at  48.4    A   0.824672
AFFX-HUMISGF3A/M97935_MA_at 91  A   0.804734
AFFX-HUMISGF3A/M97935_MB_at 264.1   P   0.011384
AFFX-HUMISGF3A/M97935_3_at  1512.8  P   0.00141
AFFX-HUMRGE/M10098_5_at 77  A   0.48511
AFFX-HUMRGE/M10098_M_at 97.5    A   0.860518
AFFX-HUMRGE/M10098_3_at 238.7   A   0.631562
AFFX-HUMGAPDH/M33197_5_at   1939.8  P   0.000258
AFFX-HUMGAPDH/M33197_M_at   1884.9  A   0.0727
AFFX-HUMGAPDH/M33197_3_at   3031.7  P   0.000258
AFFX-HSAC07/X00351_5_at 7103.5  P   0.00034
AFFX-HSAC07/X00351_M_at 15796.1 P   0.000509
AFFX-HSAC07/X00351_3_at 19227.9 P   0.00006
AFFX-M27830_5_at    1194.7  P   0.001248
AFFX-M27830_M_at    972.5   A   0.425962
AFFX-M27830_3_at    300.9   A   0.686277
AFFX-hum_alu_at 66474.8 P   0
AFFX-r2-Ec-bioB-5_at    1511.9  P   0.001221
AFFX-r2-Ec-bioB-M_at    1260.9  P   0.001221
AFFX-r2-Ec-bioB-3_at    947 P   0.001953
AFFX-r2-Ec-bioC-5_at    4676.1  P   0.000244
AFFX-r2-Ec-bioC-3_at    4177.7  P   0.000244
AFFX-r2-Ec-bioD-5_at    8594.8  P   0.000244
AFFX-r2-Ec-bioD-3_at    16018.4 P   0.000244
AFFX-r2-P1-cre-5_at 40196.2 P   0.000244
AFFX-r2-P1-cre-3_at 64708.2 P   0.000244
AFFX-r2-Bs-dap-5_at 17.5    A   0.850342
AFFX-r2-Bs-dap-M_at 55.1    A   0.696289
AFFX-r2-Bs-dap-3_at 5.8 A   0.943848
AFFX-r2-Bs-lys-5_at 121.6   A   0.246094
AFFX-r2-Bs-lys-M_at 319.9   A   0.432373
AFFX-r2-Bs-lys-3_at 16.2    A   0.334473
AFFX-r2-Bs-phe-5_at 76.9    A   0.533936
AFFX-r2-Bs-phe-M_at 119.8   A   0.246094
AFFX-r2-Bs-phe-3_at 198.8   A   0.432373
AFFX-r2-Bs-thr-3_s_at   56.5    A   0.969727
AFFX-r2-Bs-thr-M_s_at   390.7   A   0.366211
AFFX-r2-Bs-thr-5_s_at   172.7   A   0.095215
200000_s_at 124.6   A   0.633789
200001_at   1889.7  A   0.111572
200002_at   1075.2  P   0.001953
200003_s_at 6143.2  P   0.000244
200004_at   1706.6  P   0.000244
200005_at   966.2   P   0.046143
200006_at   1737.8  P   0.001953
200007_at   1360.1  P   0.001953
200008_s_at 521.4   P   0.030273
200009_at   751.3   P   0.000244
200010_at   5973.5  P   0.001953
200011_s_at 1106.4  P   0.037598
200012_x_at 66798.3 P   0.000244
200013_at   2672    P   0.000244
200014_s_at 745.4   P   0.000732
200015_s_at 697.2   P   0.018555
200016_x_at 3041.5  P   0.000244
200017_at   3307.3  P   0.00415
200018_at   13453.7 P   0.000244
200019_s_at 5998.8  P   0.000244
200020_at   485.5   A   0.149658
200021_at   12835   P   0.008057
200022_at   3308    P   0.018555
200023_s_at 1237.8  P   0.000732
200024_at   2002    P   0.010742
200025_s_at 4729.8  P   0.000732
200026_at   3579.7  P   0.008057
200027_at   468.4   A   0.19458
200028_s_at 358.8   A   0.466064
200029_at   5755    P   0.001221
200030_s_at 1706.8  P   0.00415
200031_s_at 30572   P   0.000244
200032_s_at 6733.9  P   0.000244
200033_at   2259.3  P   0.000244
200034_s_at 1609.8  P   0.001221
200035_at   1645.2  A   0.095215
200036_s_at 729.9   P   0.010742
200037_s_at 852.5   P   0.005859
200038_s_at 5551.6  P   0.010742
200039_s_at 475.9   A   0.19458
200040_at   1031.6  P   0.030273
200041_s_at 1526.3  P   0.001953
200042_at   79.7    A   0.533936
200043_at   1121.4  A   0.171387
200044_at   367.4   A   0.466064
200045_at   1071.5  A   0.149658
200046_at   797.6   P   0.018555
200047_s_at 757.9   P   0.000244
200048_s_at 2550    P   0.018555
200049_at   1262.9  P   0.00415
200050_at   377.5   A   0.080566
200051_at   234.2   A   0.466064
200052_s_at 444.8   A   0.111572
200053_at   391.3   A   0.067627
200054_at   386.6   A   0.246094
200055_at   2482.5  P   0.000244
200056_s_at 194.9   M   0.056152
200057_s_at 2286.1  P   0.023926
200058_s_at 307.2   A   0.334473
200059_s_at 4451.6  P   0.000732
200060_s_at 1122.4  M   0.056152
200061_s_at 11133.5 P   0.000732
200062_s_at 20033.6 P   0.001953
200063_s_at 1044    P   0.00293
200064_at   961.9   P   0.046143
200065_s_at 3372.5  P   0.018555
200066_at   560.7   P   0.018555
200067_x_at 3075.6  P   0.000732
