"","Overall","feats"
"1",20.884516290342,"duffy_outer1_pos64_2"
"2",13.3290978492874,"duffy_outer1_pos65_5"
"3",100,"duffy_outer1_pos80_3"
"4",69.9494884865329,"duffy_outer1_pos80_6"
"5",6.66684187037613,"duffy_outer1_pos104_0"
"6",6.7491661359022,"duffy_outer1_pos104_2"
"7",6.80430596740454,"duffy_outer1_pos113_2"
"8",6.73953206052409,"duffy_outer1_pos113_3"
"9",27.6971783881175,"duffy_outer2_pos0_0"
"10",27.7725576745904,"duffy_outer2_pos0_7"
"11",27.6024190763422,"duffy_outer2_pos1_4"
"12",27.5218492602161,"duffy_outer2_pos1_7"
"13",18.6819435553743,"duffy_outer2_pos3_2"
"14",18.5995575040755,"duffy_outer2_pos3_3"
"15",100,"duffy_outer2_pos5_1"
"16",99.8747993043403,"duffy_outer2_pos5_6"
"17",15.6841045161591,"duffy_outer2_pos9_4"
"18",15.6938615840122,"duffy_outer2_pos9_7"
"19",15.7208636554101,"duffy_outer2_pos10_3"
"20",15.7068140142871,"duffy_outer2_pos10_7"
"21",15.6397004867891,"duffy_outer2_pos11_3"
"22",15.5324282334054,"duffy_outer2_pos11_7"
"23",0.159493257997065,"duffy_outer2_pos12_7"
"24",46.9069484522946,"duffy_outer2_pos13_0"
"25",46.6207273999337,"duffy_outer2_pos13_7"
"26",99.999765227226,"duffy_outer3_pos13_3"
"27",100,"duffy_outer3_pos13_4"
"28",0.133864101748652,"duffy_outer4_pos0_6"
"29",0.261265687951866,"duffy_outer4_pos0_7"
"30",0.430573709503117,"duffy_outer4_pos1_4"
"31",0.413459332887011,"duffy_outer4_pos1_7"
"32",0.240758320658313,"duffy_outer4_pos2_4"
"33",100,"duffy_outer4_pos3_1"
"34",99.8535992070855,"duffy_outer4_pos3_7"
"35",82.1951355607304,"duffy_outer4_pos5_1"
"36",81.9671638169176,"duffy_outer4_pos5_2"
"37",30.3712203390872,"duffy_outer4_pos10_3"
"38",30.8478288605509,"duffy_outer4_pos10_5"
"39",30.4902800626357,"duffy_outer4_pos17_0"
"40",29.7193832479367,"duffy_outer4_pos17_4"
