0,ID_REF,GSM83897,GSM85205,GSM85206,GSM85207,GSM85208,GSM85209,GSM85210,GeneID,Chromosome,Start,End
1,1007_s_at,479,912.1,561.3,710.9,745.6,418.8,698.4,MIR4640,6,30890883,30890972
2,1053_at,163,139.7,105.4,31.6,104,98,93.2,RFC2,7,74231499,74254458
3,117_at,1573.6,1306.6,1343,1031.6,1739.2,1235.8,1344.3,HSPA6,1,161524540,161526910
4,121_at,3502.6,4222.8,4036.2,4696.1,4174.9,3726.2,4520.4,PAX8,2,113215997,113278950
5,1255_g_at,39.2,260.9,217.9,365.8,204,255.2,232.5,GUCA1A,6,42155406,42180056
6,1294_at,121.1,106.3,85.8,115.2,84.2,252.7,132.8,MIR5193,3,49806137,49806245
7,1316_at,430.1,287.3,380.1,337.4,304.4,447.8,546.7,THRA,17,40058290,40093867
8,1320_at,71.1,220.5,56.8,76.3,55.4,74.5,174.4,PTPN21,14,88465778,88554733
9,1431_at,264.1,176.7,88.7,285.9,142.8,221.8,270.4,CYP2E1,10,133520406,133561220
10,1438_at,231.6,326.8,135,422.8,111.3,81.6,240.4,EPHB3,3,184561784,184582409
11,1487_at,620.6,672.7,722.3,679.1,561.4,791,715.3,ESRRA,11,64305572,64316743
12,1494_f_at,742.9,707.7,828.7,1117.9,786.4,843.6,855.6,CYP2A6,19,40843538,40850447
13,1598_g_at,1129.7,1764.2,1607.4,2005.6,1648.2,1718.2,1933.3,GAS6,13,113820549,113864067
14,160020_at,1635.2,2051.2,1870.3,2905.3,2056.3,2144.4,2238.4,MMP14,14,22836557,22849027
15,1729_at,136.6,655.4,214.2,362.3,240,203.1,234.8,TRADD,16,67154180,67160298
16,1773_at,109.4,146.9,80.2,312.2,147.3,281.7,32.4,CHURC1-FNTB,14,64914485,65061803
17,177_at,136.2,64.4,88.4,244.7,187.5,132.2,67.4,PLD1,3,171600405,171810950
18,1861_at,155.9,325.2,196.6,309.5,311.7,313,340.7,BAD,11,64269830,64284704
19,200000_s_at,197.6,113.8,59.1,124.6,37.6,58.2,262.2,PRPF8,CHR_HSCHR17_1_CTG2,1650629,1684882
20,200001_at,2286.5,3033.7,1740.1,1889.7,2815.5,2043.3,1949.8,CAPNS1,19,36139575,36150353
21,200002_at,1248.9,1934.1,2929.9,1075.2,149.9,260.6,2330.2,RPL35,9,124857880,124861981
22,200003_s_at,6722.4,10219.2,9863.6,6143.2,2775.1,3959.2,9718.8,MIR6805,19,55388181,55388242
23,200004_at,2780.1,2329.2,2939.4,1706.6,2166.3,1722.9,2342.4,EIF4G2,11,10797050,10809110
24,200005_at,936.4,1342.1,925.6,966.2,660,905,1131.9,EIF3D,22,36510850,36529436
25,200006_at,1433,1982.3,2429,1737.8,1453.1,1203.5,1673.3,PARK7,1,7954291,7985505
26,200007_at,2568.8,2339.8,3019,1360.1,2095.8,2026.6,2211.3,SRP14,15,40035739,40039188
27,200008_s_at,784.9,741.6,791.8,521.4,789.6,1042.2,814.8,GDI2,10,5765223,5842132
28,200009_at,1758.5,1337,1955.8,751.3,1547.7,1114.2,1186.2,GDI2,10,5765223,5842132
29,200010_at,10593.1,7843,10186.9,5973.5,4868.8,6390.5,8354.8,RPL11,1,23691742,23696835
30,200011_s_at,1597.1,1906.5,1946.9,1106.4,1923,1391.1,1386,ARF3,12,48935723,48957551
31,200012_x_at,39092.6,25227.8,24740,66798.3,43068.7,44956.5,41388.4,RPL21P28,1,212051524,212052006
32,200013_at,3246.5,3608.7,5388.6,2672,1671.3,1710.6,4125.2,RPL24,3,101681091,101686782
33,200014_s_at,1485.2,767.1,1449.6,745.4,1280.4,910.2,1226.6,HNRNPC,14,21209136,21269494
34,200015_s_at,725.4,1072.6,1113.2,697.2,458.9,580.7,1062.3,2-Sep,,,
35,200016_x_at,3371.9,5037.5,5000.3,3041.5,788.3,892.2,4420.2,HNRNPA1,12,54280193,54287088
36,200017_at,5982.2,4604.5,9674.9,3307.3,1996.8,2207.6,10163.1,RPS27A,2,55231903,55235853
37,200018_at,14505.8,16036.6,13375.3,13453.7,10618.6,11598.7,19927.1,RPS13,11,17074389,17077787
38,200019_s_at,7053.8,7520.1,7614.8,5998.8,5586.1,5880.8,6333.1,FAU,11,65120628,65122473
39,200020_at,544.9,749.9,605.2,485.5,380.4,490.5,707.4,TARDBP,1,11012344,11026420
40,200021_at,22696.6,20708.1,13845.5,12835,14904.6,16854,14489.2,CFL1,11,65823022,65862026
41,200022_at,3034,4825.1,4548.3,3308,606.2,558.5,4004.1,RPL18,19,48615328,48619536
42,200023_s_at,1498.8,2238.7,1781.6,1237.8,684.3,645.9,1592.7,EIF3F,11,7970251,8001862
43,200024_at,3944.1,5597.1,6342.3,2002,979.8,1188.3,2976,RPS5,19,58386400,58394806
44,200025_s_at,6659.7,8401.1,9021,4729.8,1176.8,1946.8,8514.4,RPL27,17,42998273,43002959
45,200026_at,4375.5,2850.5,5206.4,3579.7,1600.5,1724.8,6037.6,RPL34,4,108620566,108630412
46,200027_at,545.6,747.4,1042.4,468.4,351.5,451.5,636.8,NARS,18,57600656,57622213
47,200028_s_at,497.3,609.9,945.3,358.8,250.3,330.8,544.8,STARD7,2,96184859,96208825
48,200029_at,10641.5,9055.3,7652.6,5755,2688.2,4202.3,11182.7,RPL19,17,39200283,39204732
49,200030_s_at,2207.9,2760.2,2415.9,1706.8,1259.4,1565.1,1781,SLC25A3,12,98593591,98606379
50,200031_s_at,28457.3,27350.6,18350,30572,28226,27052.9,25541.5,RPS11,19,49496365,49499689
51,200032_s_at,8496.4,8839.4,12941,6733.9,1816.9,2300.2,10842.6,RPL9,4,39452521,39458949
52,200033_at,3895.3,3002.1,3150.9,2259.3,2391.7,3401.4,3072.6,MIR3064,17,64500774,64500839
53,200034_s_at,2438.6,2691.5,3113,1609.8,879.2,1338.9,3292.2,RPL6,12,112405190,112418838
54,200035_at,1787.9,1145.7,947.6,1645.2,1638.6,2305,1612,CTDNEP1,17,7243591,7252491
55,200036_s_at,876.2,1485.4,1315.5,729.9,54.1,67.1,1083.2,RPL10A,6,35468408,35470785
56,200037_s_at,1231.9,991.9,1260.4,852.5,861.6,885.4,1234.6,CBX3,7,26201162,26213356
57,200038_s_at,4047,5186.3,7849.4,5551.6,1379,1366.2,7464.1,SNORD58C,18,49489245,49489308
58,200039_s_at,935.4,812.5,1097.2,475.9,681.8,970.4,1133.8,PSMB2,1,35599544,35641844
59,200040_at,1266.7,1470.8,1951.6,1031.6,939.7,912.6,1160.1,KHDRBS1,1,32013829,32060850
60,200041_s_at,1910,2150.6,1535.5,1526.3,1529.2,1695.1,1739,ATP6V1G2-DDX39B,6,31530219,31546608
61,200042_at,349.6,497.6,228.1,79.7,168.4,63.2,518.2,RTCB,22,32387582,32412255
62,200043_at,1077.8,1258.3,849.1,1121.4,675.4,935.4,882.8,ERH,14,69380123,69398627
63,200044_at,704,881.7,1044.7,367.4,595.7,567.8,182.2,GATC,12,120446438,120463749
64,200045_at,923.9,1297.8,891.9,1071.5,850.4,963.8,1455.8,ABCF1,CHR_HSCHR6_MHC_SSTO_CTG1,30563598,30589402
65,200046_at,1190.8,1387,1220.8,797.6,1112,1201.7,1265.7,DAD1,14,22564905,22589269
66,200047_s_at,1138.6,1108.9,1617.6,757.9,1224,1126.9,938.4,YY1,14,100238298,100282792
67,200048_s_at,3161,2820.2,2301.7,2550,4227.4,3344.5,3648.1,JTB,1,153974269,153977688
68,200049_at,919.3,1020.5,986.5,1262.9,1281.8,723.1,785.3,KAT7,17,49788555,49835030
69,200050_at,317.7,487.2,436.1,377.5,360.4,301.5,626.1,ZNF146,19,36214602,36238774
70,200051_at,339.5,501.6,289,234.2,362.6,464,116.4,SART1,11,65961689,65979828
71,200052_s_at,420.1,415.6,287.7,444.8,55.7,296.7,295.7,ILF2,1,153661788,153671048
72,200053_at,482.6,741.5,829.1,391.3,481.1,486.7,849.9,SPAG7,17,4959226,4967872
73,200054_at,261.7,548.1,435.9,386.6,191.7,659.1,516.5,ZPR1,11,116773799,116788050
74,200055_at,3240.5,2857.6,2668.6,2482.5,2568.2,2645.2,2671.6,TAF10,11,6606296,6612667
75,200056_s_at,186.1,242.7,229.5,194.9,119.9,151.3,143.3,C1D,2,68041130,68110948
76,200057_s_at,1996.8,2339.6,1908.7,2286.1,1380.9,1556.4,1897.9,NONO,X,71283192,71301168
77,200058_s_at,405.6,491.4,487.1,307.2,316.2,337.1,563,LOC101929240,,,
78,200059_s_at,9721.9,8082.2,9841.3,4451.6,9605.5,8101.2,5514.6,RHOA,3,49359145,49412998
79,200060_s_at,1512.2,1453.2,1213,1122.4,1197.4,1139.8,1607.5,RNPS1,16,2253116,2268412
80,200061_s_at,11197.1,5846.7,9363,11133.5,11251,14636.7,13096.7,RPS24,10,78033732,78056813
81,200062_s_at,19528.3,21380.7,17746.6,20033.6,20593,19856.9,23815.5,RPL30,8,98024851,98046469
82,200063_s_at,988.8,1205.9,1223.6,1044,181.1,263.2,1721,NPM1,5,171387116,171411137
83,200064_at,1039.4,1689.4,1206.5,961.9,745.4,564,1402.6,HSP90AB1,6,44246166,44253888
